,SI,MS,NDB,ACB,LSr.m.v,LSr.m.d,LSr.vl,LSr.dl,LSc.v,LSc.d,SF,FS,CP,TTv,TTd,TR,ENTm,ENTl,ILA,PL,ACAv,ACAd,RSPv,RSPv.a,RSPv.b/c,RSPd,AIv,AId,ORBv,ORBm,PTLp,PERI,ECT,VISp,VISpm,AVP,MPO,AHNc,MM,LM,SUMl,LHAa,LHAjvv,LHAjvd,LHAjp,LHAjd,LHAsfp,LHAs,ZI,REr,REc,PT,AV,AD,IAM,VTA
ILA,0.3683166666160614,0.4536110525692545,0.5498528582359636,0.8551717262156656,0.19510907872889033,0.5621035095372022,0.7035867944946939,0.7084526892056469,-0.11577576242674914,0.2877558053159982,0.3015322125810123,0.7443873683187766,0.6784780700822183,0.7486832636929778,0.8762171353824711,0.7738950745505404,0.25562367177136913,0.4788299018088889,1.0,0.904596637743037,0.7872751845018942,0.7872751845018942,0.11577576242674914,0.09065508345285528,0.212846267704244,0.4381871654989361,0.8025426314686811,0.8025426314686811,0.6684422859695761,0.8056989817238503,0.07864026893759718,0.7949935686636774,0.3816468860797186,0.03859192080891638,0.06590929823655835,0.7443873683187766,0.7443873683187766,0.7715264911220654,0.756401647854761,-0.09223338267183907,0.7443873683187766,0.7486832636929778,0.7872751845018942,0.7715264911220654,0.8548565008407183,0.8682075973684987,0.7715264911220654,0.7482643858621036,0.7486832636929778,0.6415029025857747,0.49683570480951317,0.7482643858621036,0.06007404688291866,-0.2442521052295986,0.7792805262087193,0.8327456183576329
PL,0.5633974959510117,0.5337449961641163,0.6124031007751938,0.9729802252787781,0.437984496124031,0.6712915871220497,0.8861939501498878,0.86577672455353,0.042165951046273416,0.38752258041839993,0.46124031007751937,0.8768667794124768,0.8006174942461746,0.8854849719717417,0.9883720930232558,0.7297351689590836,0.06633308380380876,0.3559011847991517,0.904596637743037,1.0,0.7842866894606855,0.9107845425995057,0.15179742376658428,0.08070799974651552,0.3449612403100775,0.47876804735939876,0.914991421995628,0.914991421995628,0.7733088933397005,0.9034816377588655,0.042961605185538924,0.8854849719717417,0.5289614716793357,-0.06746552167403747,-0.06777714237004652,0.8768667794124768,0.8768667794124768,0.9022832078012443,0.8601854013439776,-0.3488372093023256,0.8768667794124768,0.8854849719717417,0.9107845425995057,0.9022832078012443,0.8459098688756271,0.8221312952846503,0.9022832078012443,0.8641585652180932,0.8854849719717417,0.5858914010720153,0.28368189841402175,0.8641585652180932,-0.19305163199975758,-0.508328567775349,0.8768667794124768,0.9412416106700233
ACAv,0.19355044226326584,0.5806513267897976,0.7842866894606855,0.6468533029083299,0.05059914125552809,0.7458237176878765,0.5807674919058523,0.5986414282632196,0.13761467889908258,0.5806649473508247,0.3879267496257154,0.4147509477069983,0.5622179513361532,0.43119266055045874,0.6999547873681387,0.3864318432958854,0.022788169630114603,0.4955882597596606,0.7872751845018942,0.7842866894606855,1.0,0.5412844036697247,0.3211009174311927,-0.07183697139158636,0.12649785313882023,0.6636546873994553,0.5806513267897976,0.5806513267897976,0.6075827820525738,0.5964491494349535,0.14021141124290162,0.5779816513761468,0.3192263053313836,0.027522935779816515,0.02765006318046655,0.4147509477069983,0.4147509477069983,0.4884844495215757,0.46788990825688076,-0.26986208669614986,0.4147509477069983,0.43119266055045874,0.5412844036697247,0.4884844495215757,0.5751560801941792,0.6038985907083423,0.4884844495215757,0.4331843231606426,0.43119266055045874,0.15641237740115502,-0.015240113563653348,0.4331843231606426,-0.13441107592900362,-0.4147509477069983,0.5253512004288644,0.6399746063114223
ACAd,0.7004682672384859,0.5806513267897976,0.4891250321367716,0.8988740702752117,0.5987565048570824,0.4350638353179279,0.8130744886681932,0.7582791424667449,0.13761467889908258,0.26249237345996185,0.3879267496257154,0.9677522113163293,0.7004682672384859,0.981651376146789,0.9107845425995057,0.8484699168018354,0.21268958321440298,0.18584559740987272,0.7872751845018942,0.9107845425995057,0.5412844036697247,1.0,-0.045871559633027525,0.04789131426105757,0.25299570627764045,0.2856235363491327,0.9954022744967957,0.9954022744967957,0.6075827820525738,0.7644629943462081,0.14021141124290162,0.944954128440367,0.613250533926079,0.027522935779816515,0.02765006318046655,0.9677522113163293,0.9677522113163293,0.9954022744967957,0.926605504587156,-0.26986208669614986,0.9677522113163293,0.981651376146789,1.0,0.9954022744967957,0.7285310349126269,0.6803414502916768,0.9954022744967957,0.9401021481358627,0.981651376146789,0.7429587926554864,0.28956215770941357,0.9401021481358627,-0.13441107592900362,-0.4147509477069983,0.9401021481358627,0.8106345013278017
RSPv,-0.4147509477069983,0.0,0.15179742376658428,0.10920899919231544,-0.5059914125552809,0.2796838941329537,0.04646139935246818,0.0,-0.41284403669724773,0.13522334390361673,-0.2361293258591311,0.0,-0.11981694044868839,-0.045871559633027525,0.10963147272031087,-0.21001730613906816,-0.34182254445171906,0.015487133117489393,0.11577576242674914,0.15179742376658428,0.3211009174311927,-0.045871559633027525,1.0,0.6225870853937484,0.8095862600884495,0.8988740702752117,0.0,0.0,-0.04673713708096721,0.2604214596124445,0.14021141124290162,0.13761467889908258,0.613250533926079,0.24770642201834864,0.19355044226326584,0.0,0.0,-0.046083438634110914,0.13761467889908258,0.3963599398349701,0.0,-0.045871559633027525,-0.045871559633027525,-0.046083438634110914,0.023006243207767167,0.4510128715416734,-0.046083438634110914,0.09216687726822183,-0.045871559633027525,0.007820618870057751,0.15240113563653346,0.09216687726822183,0.4116339200325736,0.19355044226326584,0.13825031590233275,0.17919288976719824
RSPv.a,-0.20447822033799246,-0.27664700398669567,-0.24946109012559342,0.14617633655117152,-0.3044892717709449,-0.12166606584807191,-0.010105651043180541,-0.003472222222222222,-0.5986414282632196,-0.32526146276048157,-0.2934836354418746,0.15636569790552365,-0.012028130608117204,0.11972828565264393,0.11372490873372641,-0.13886751972361294,0.06939201375033761,0.18190171877724973,0.09065508345285528,0.08070799974651552,-0.07183697139158636,0.04789131426105757,0.6225870853937484,1.0,0.7483832703767802,0.456801051722411,0.048112522432468816,0.048112522432468816,0.0,0.25580858896455017,0.44728753343474437,0.11972828565264393,0.5262348115842175,0.07183697139158636,0.016037507477489603,0.15636569790552365,0.15636569790552365,0.08419691425682042,0.19156525704423027,0.6419954525291007,0.15636569790552365,0.11972828565264393,0.04789131426105757,0.08419691425682042,0.07339207049399828,0.4921535787550337,0.08419691425682042,0.19245008972987526,0.11972828565264393,0.5103103630798287,0.6762236915493705,0.19245008972987526,0.6614479228940511,0.4009376869372401,0.15636569790552365,0.19302200804786207
RSPv.b/c,-0.04236071398127907,-0.12708214194383724,-0.04263565891472868,0.4208525577594715,-0.11627906976744186,0.20710059602701536,0.3309881018632111,0.2934836354418746,-0.5059914125552809,-0.08774096160416603,-0.09302325581395349,0.3812464258315117,0.19485928431388375,0.3373276083701873,0.38372093023255816,0.07722065279990303,-0.2967532696486181,-0.014236047391966069,0.212846267704244,0.3449612403100775,0.12649785313882023,0.25299570627764045,0.8095862600884495,0.7483832703767802,1.0,0.6795417446391466,0.2541642838876745,0.2541642838876745,0.2148080259276946,0.5521276675193066,0.042961605185538924,0.3373276083701873,0.7297351689590836,0.15179742376658428,0.09742964215694187,0.3812464258315117,0.3812464258315117,0.29652499786895353,0.42165951046273414,0.2558139534883721,0.3812464258315117,0.3373276083701873,0.25299570627764045,0.29652499786895353,0.2960684541064695,0.6394354518880614,0.29652499786895353,0.42360713981279075,0.3373276083701873,0.3522537257978988,0.42026947913188406,0.42360713981279075,0.2586891868796751,0.09742964215694187,0.3812464258315117,0.482386325468387
RSPd,-0.18144913660249026,0.3417995363907375,0.47876804735939876,0.3730769230769231,-0.32046570911959754,0.49085771415610724,0.287169050122774,0.23753654689565373,-0.21001730613906816,0.35689494995732257,-0.042471359039946664,0.25318484177091666,0.12237267352260972,0.2268186906301936,0.40154739455949573,0.08461538461538462,-0.1877991083041286,0.17726484575479876,0.4381871654989361,0.47876804735939876,0.6636546873994553,0.2856235363491327,0.8988740702752117,0.456801051722411,0.6795417446391466,1.0,0.3417995363907375,0.3417995363907375,0.17118419700436519,0.4346153846153846,0.25677629550654774,0.4452366890148245,0.7269230769230769,0.2856235363491327,0.24052559968237083,0.25318484177091666,0.25318484177091666,0.2574045891337653,0.3864318432958854,0.24324505631969454,0.25318484177091666,0.2268186906301936,0.2856235363491327,0.2574045891337653,0.2387508583996878,0.6019729118284379,0.2574045891337653,0.33336004166504024,0.2268186906301936,0.16470642102906954,0.108151233865189,0.33336004166504024,0.3153846153846154,0.004219747362848611,0.41775498892201246,0.39457941937323365
AIv,0.6527777777777778,0.625,0.5337449961641163,0.8861469461982083,0.5464532103585,0.46829290579084704,0.8051610483161056,0.7337159670951494,0.13825031590233275,0.3116511459654997,0.35582999744274424,0.9583333333333334,0.6527777777777778,0.9677522113163293,0.9022832078012443,0.8355099778440249,0.1945941322606428,0.1633660098032678,0.8025426314686811,0.914991421995628,0.5806513267897976,0.9954022744967957,0.0,0.048112522432468816,0.2541642838876745,0.3417995363907375,1.0,1.0,0.563436169819011,0.7595545253127499,0.14085904245475275,0.9677522113163293,0.6329621044272916,0.02765006318046655,0.027777777777777776,0.9583333333333334,0.9583333333333334,0.9861111111111112,0.9401021481358627,-0.24145606969329073,0.9583333333333334,0.9677522113163293,0.9954022744967957,0.9861111111111112,0.7164877534575876,0.6911635163761372,0.9861111111111112,0.9444444444444444,0.9677522113163293,0.7306770072260991,0.2755891273047752,0.9444444444444444,-0.08861469461982083,-0.4166666666666667,0.9583333333333334,0.7972339748041416
AId,0.6527777777777778,0.625,0.5337449961641163,0.8861469461982083,0.5464532103585,0.46829290579084704,0.8051610483161056,0.7337159670951494,0.13825031590233275,0.3116511459654997,0.35582999744274424,0.9583333333333334,0.6527777777777778,0.9677522113163293,0.9022832078012443,0.8355099778440249,0.1945941322606428,0.1633660098032678,0.8025426314686811,0.914991421995628,0.5806513267897976,0.9954022744967957,0.0,0.048112522432468816,0.2541642838876745,0.3417995363907375,1.0,1.0,0.563436169819011,0.7595545253127499,0.14085904245475275,0.9677522113163293,0.6329621044272916,0.02765006318046655,0.027777777777777776,0.9583333333333334,0.9583333333333334,0.9861111111111112,0.9401021481358627,-0.24145606969329073,0.9583333333333334,0.9677522113163293,0.9954022744967957,0.9861111111111112,0.7164877534575876,0.6911635163761372,0.9861111111111112,0.9444444444444444,0.9677522113163293,0.7306770072260991,0.2755891273047752,0.9444444444444444,-0.08861469461982083,-0.4166666666666667,0.9583333333333334,0.7972339748041416
ORBv,0.6103891839705953,0.14085904245475275,0.3436928414843114,0.8131249357707345,0.5155392622264671,0.47493569014597764,0.7100716024967263,0.8539125638299665,0.04673713708096721,0.12156613477096616,0.6444240777830839,0.563436169819011,0.9860132971832692,0.6075827820525738,0.8162704985252395,0.5135525910130955,0.11609086505314302,0.6311747577748679,0.6684422859695761,0.7733088933397005,0.6075827820525738,0.6075827820525738,-0.04673713708096721,0.0,0.2148080259276946,0.17118419700436519,0.563436169819011,0.563436169819011,1.0,0.727532837268552,0.047619047619047616,0.4206342337287049,0.17118419700436519,-0.04673713708096721,-0.04695301415158425,0.563436169819011,0.563436169819011,0.6103891839705953,0.4206342337287049,-0.5155392622264671,0.563436169819011,0.6075827820525738,0.6075827820525738,0.6103891839705953,0.7422781156526177,0.5841397865784149,0.6103891839705953,0.4695301415158425,0.6075827820525738,0.3187276291558383,0.19409610291545798,0.4695301415158425,-0.5135525910130955,-0.4225771273642583,0.4225771273642583,0.8259308406823933
ORBm,0.4219747362848611,0.2658440838594625,0.40154739455949573,0.9538461538461539,0.332048807039583,0.6687047120387548,0.8934148226041857,0.8514771604105741,-0.21001730613906816,0.269492105069815,0.3590760355195491,0.8355099778440249,0.725796546409961,0.8148671478195845,0.9343698988788266,0.5807692307692308,-0.15302149565521592,0.21980840873595045,0.8056989817238503,0.9034816377588655,0.5964491494349535,0.7644629943462081,0.2604214596124445,0.25580858896455017,0.5521276675193066,0.4346153846153846,0.7595545253127499,0.7595545253127499,0.727532837268552,1.0,-0.21398024625545647,0.7812643788373336,0.4423076923076923,-0.26882215185800723,-0.2700638312223111,0.8355099778440249,0.8355099778440249,0.7933125042155389,0.8316685323107099,-0.32046570911959754,0.8355099778440249,0.8148671478195845,0.7644629943462081,0.7933125042155389,0.8847825928929607,0.8959596827213959,0.7933125042155389,0.8439494725697222,0.8148671478195845,0.5478278786401661,0.4430711838993227,0.8439494725697222,-0.15,-0.5063696835418333,0.8101914936669333,0.9844951849708403
PTLp,0.0939060283031685,0.14085904245475275,0.042961605185538924,-0.042796049251091296,-0.042961605185538924,-0.3166237934306518,-0.23669053416557545,-0.12198750911856665,0.04673713708096721,-0.20261022461827694,-0.042961605185538924,0.0,0.0939060283031685,0.04673713708096721,0.0,0.042796049251091296,0.6191512802834295,0.5128294906920802,0.07864026893759718,0.042961605185538924,0.14021141124290162,0.14021141124290162,0.14021141124290162,0.44728753343474437,0.042961605185538924,0.25677629550654774,0.14085904245475275,0.14085904245475275,0.047619047619047616,-0.21398024625545647,1.0,0.04673713708096721,0.42796049251091295,0.5141085078906393,0.4695301415158425,0.0,0.0,0.0939060283031685,-0.04673713708096721,0.5155392622264671,0.0,0.04673713708096721,0.14021141124290162,0.0939060283031685,-0.1953363462243731,0.038942652438560994,0.0939060283031685,-0.04695301415158425,0.04673713708096721,0.3984095364447979,0.19409610291545798,-0.04695301415158425,0.42796049251091295,0.4695301415158425,0.0,-0.13041013273932525
PERI,0.4977011372483979,0.6359514531507307,0.5481573636015543,0.8484699168018354,0.3963599398349701,0.5282918000289125,0.7898437889919591,0.6624965139446297,0.045871559633027525,0.3738527743217639,0.22769613564987642,0.9401021481358627,0.4977011372483979,0.926605504587156,0.8601854013439776,0.7644629943462081,0.07596056543371535,0.030974266234978787,0.7949935686636774,0.8854849719717417,0.5779816513761468,0.944954128440367,0.13761467889908258,0.11972828565264393,0.3373276083701873,0.4452366890148245,0.9677522113163293,0.9677522113163293,0.4206342337287049,0.7812643788373336,0.04673713708096721,1.0,0.6636546873994553,-0.045871559633027525,-0.046083438634110914,0.9401021481358627,0.9401021481358627,0.9401021481358627,0.981651376146789,-0.15179742376658428,0.9401021481358627,0.926605504587156,0.944954128440367,0.9401021481358627,0.6978560439689374,0.7414957379583443,0.9401021481358627,0.9677522113163293,0.926605504587156,0.7116763171752554,0.3124223280548936,0.9677522113163293,0.05040415347337636,-0.4147509477069983,0.9954022744967957,0.7765025223245258
ECT,0.23630585231952222,0.36711802056782916,0.2586891868796751,0.49615384615384617,0.11583097919985454,0.16361923805203574,0.3722561760850774,0.3033158983436809,-0.1260103836834409,0.08011927448021527,-0.01930516319997576,0.6076436202502,0.23630585231952222,0.5964491494349535,0.5057952758393648,0.4269230769230769,0.0591219415031516,0.02127178149057585,0.3816468860797186,0.5289614716793357,0.3192263053313836,0.613250533926079,0.613250533926079,0.5262348115842175,0.7297351689590836,0.7269230769230769,0.6329621044272916,0.6329621044272916,0.17118419700436519,0.4423076923076923,0.42796049251091295,0.6636546873994553,1.0,0.4536373812603872,0.400875999470618,0.6076436202502,0.6076436202502,0.6076436202502,0.6468533029083299,0.28185538271964605,0.6076436202502,0.5964491494349535,0.613250533926079,0.6076436202502,0.2527950265408459,0.5669744867221334,0.6076436202502,0.6329621044272916,0.5964491494349535,0.5836336223421378,0.2546787120051225,0.6329621044272916,0.3,0.09705418934551806,0.6582805886043833,0.43364668861810823
VISp,-0.009216687726822183,0.02765006318046655,-0.06746552167403747,-0.13441107592900362,-0.13493104334807493,-0.38844985296243567,-0.32522979546727726,-0.21551091417475907,-0.045871559633027525,-0.27840100215450503,-0.13493104334807493,-0.08295018954139965,-0.009216687726822183,-0.045871559633027525,-0.10119828251105618,0.31082561308582085,0.4329752229721775,0.2477941298798303,0.03859192080891638,-0.06746552167403747,0.027522935779816515,0.027522935779816515,0.24770642201834864,0.07183697139158636,0.15179742376658428,0.2856235363491327,0.02765006318046655,0.02765006318046655,-0.04673713708096721,-0.26882215185800723,0.5141085078906393,-0.045871559633027525,0.4536373812603872,1.0,0.9954022744967957,-0.08295018954139965,-0.08295018954139965,-0.009216687726822183,-0.11926605504587157,0.4806918419275169,-0.08295018954139965,-0.045871559633027525,0.027522935779816515,-0.009216687726822183,-0.16871245019029255,0.007644285958333447,-0.009216687726822183,-0.11981694044868839,-0.045871559633027525,0.15641237740115502,0.06096045425461339,-0.11981694044868839,0.24362007512131906,0.7004682672384859,-0.08295018954139965,-0.20479187401965515
VISpm,-0.009259259259259259,0.027777777777777776,-0.06777714237004652,-0.13503191561115555,-0.13555428474009304,-0.3902440881590392,-0.3267320196065356,-0.21650635094610965,-0.046083438634110914,-0.2796869258664741,-0.13555428474009304,-0.08333333333333333,-0.009259259259259259,-0.046083438634110914,-0.10166571355506979,0.35023903111643473,0.4540529752748332,0.2489386816049795,0.06590929823655835,-0.06777714237004652,0.02765006318046655,0.02765006318046655,0.19355044226326584,0.016037507477489603,0.09742964215694187,0.24052559968237083,0.027777777777777776,0.027777777777777776,-0.04695301415158425,-0.2700638312223111,0.4695301415158425,-0.046083438634110914,0.400875999470618,0.9954022744967957,1.0,-0.08333333333333333,-0.08333333333333333,-0.009259259259259259,-0.11981694044868839,0.4702039251921977,-0.08333333333333333,-0.046083438634110914,0.02765006318046655,-0.009259259259259259,-0.14252713375231582,0.007679594626401524,-0.009259259259259259,-0.12037037037037036,-0.046083438634110914,0.15713484026367722,0.07655253536243754,-0.12037037037037036,0.23630585231952222,0.7037037037037037,-0.08333333333333333,-0.2057377999494559
AVP,0.6527777777777778,0.4583333333333333,0.36853821163712797,0.9114654303752999,0.5718696387472675,0.42146361521176234,0.8401680504168058,0.7577722283113838,0.0,0.19178532059415365,0.31770535485959306,1.0,0.6527777777777778,0.9954022744967957,0.9022832078012443,0.8101914936669333,0.10302042296151677,0.07001400420140048,0.7443873683187766,0.8768667794124768,0.4147509477069983,0.9677522113163293,0.0,0.15636569790552365,0.3812464258315117,0.25318484177091666,0.9583333333333334,0.9583333333333334,0.563436169819011,0.8355099778440249,0.0,0.9401021481358627,0.6076436202502,-0.08295018954139965,-0.08333333333333333,1.0,1.0,0.9861111111111112,0.9677522113163293,-0.24145606969329073,1.0,0.9954022744967957,0.9677522113163293,0.9861111111111112,0.76271276980969,0.7372410841345464,0.9861111111111112,0.9861111111111112,0.9954022744967957,0.7778174593052023,0.40190081065279715,0.9861111111111112,-0.08861469461982083,-0.4166666666666667,0.9583333333333334,0.8486684247915055
MPO,0.6527777777777778,0.4583333333333333,0.36853821163712797,0.9114654303752999,0.5718696387472675,0.42146361521176234,0.8401680504168058,0.7577722283113838,0.0,0.19178532059415365,0.31770535485959306,1.0,0.6527777777777778,0.9954022744967957,0.9022832078012443,0.8101914936669333,0.10302042296151677,0.07001400420140048,0.7443873683187766,0.8768667794124768,0.4147509477069983,0.9677522113163293,0.0,0.15636569790552365,0.3812464258315117,0.25318484177091666,0.9583333333333334,0.9583333333333334,0.563436169819011,0.8355099778440249,0.0,0.9401021481358627,0.6076436202502,-0.08295018954139965,-0.08333333333333333,1.0,1.0,0.9861111111111112,0.9677522113163293,-0.24145606969329073,1.0,0.9954022744967957,0.9677522113163293,0.9861111111111112,0.76271276980969,0.7372410841345464,0.9861111111111112,0.9861111111111112,0.9954022744967957,0.7778174593052023,0.40190081065279715,0.9861111111111112,-0.08861469461982083,-0.4166666666666667,0.9583333333333334,0.8486684247915055
