Abbr.,MS,NDB,LSr.m.v,LSr.m.d,MEAad,MEApv,COApm,COApl,TR,ENTm,ENTl,ILA,ACAv,ACAd,RSPv.a,RSPv.b/c,RSPd,RSPagl,ORBv,ORBm,PERI,ECT,VISp,VISpm,BMAp,BLAa,BLAp,LA,PA,EPv,EPd,CLA,DMHa,DMHp,DMHv,PH,AHNc,AHNp,TM,SUMm,SUMl,RCH,LHAa,LHAjvv,LHAsfa,REr,REc,PVT,PT,AV,AD,AMd,IAM,LD,PR,RH,VM,LP,RL,IF,CS,DR,SNc,VTA,RR,NI,LC
MS,1.0,0.060897435897435896,0.3906726924487462,-0.03654408413779288,0.5354397727451864,0.5778127044012803,0.33554939198910105,0.2689157956093415,0.20227834851568374,0.3681270028618293,0.10008009612817946,0.22395160411940418,-0.4524561164194209,-0.43913765534497307,-0.22645540682891913,-0.32810304425836656,-0.23098765886429137,-0.23773117981359404,-0.35160542320387156,-0.43913765534497307,-0.18631032838127484,-0.11111615050658782,-0.3698001308168194,-0.35160542320387156,0.4736654667156709,0.4281868950517018,0.4358974358974359,0.4114253678777396,0.31248274114076785,0.5904935756660239,0.7235359517703827,-0.2773500981126146,0.6577935144802718,0.6577935144802718,0.6577935144802718,0.15793547253634996,0.3906726924487462,0.1827204206889644,0.6278898054493913,0.181883209317138,0.3160028254654641,0.3906726924487462,0.3906726924487462,0.2689157956093415,0.1747505344419561,0.16355112715421938,0.1270526824036402,0.2530686752854388,0.364893548060982,-0.2793777498451351,-0.4983948594211581,-0.40203807703327726,-0.40032038451271784,-0.5471045255007144,0.21588280669851348,-0.34294871794871795,-0.06776041131422787,-0.37576863906019703,0.4315271435001253,0.354877157296902,-0.03631965570522333,-0.5091010951169813,0.16984155512168936,0.49038461538461536,0.4608729175747325,0.5210320133872379,-0.09478946531678895
NDB,0.060897435897435896,1.0,-0.3906726924487462,-0.07308816827558576,-0.14637921844832436,-0.06933752452815364,-0.17266133762545977,-0.6227523687795276,-0.16182267881254697,0.5473038626618347,-0.05671205447263503,-0.21361537623697013,0.23773117981359404,0.19260423480042677,0.08492077756084468,0.3994297930101854,0.26111648393354675,0.29908116170097315,0.27347088471412234,0.19260423480042677,0.6144972234329766,0.5143090394876351,0.1617875572323585,0.27347088471412234,-0.2063828104975423,-0.07190924955066748,0.08974358974358974,-0.10760355775263959,-0.5793219358227719,-0.007668747735922389,-0.31008683647302115,0.2388292511525292,-0.3654408413779288,-0.3654408413779288,-0.3654408413779288,-0.2966105215926572,-0.3906726924487462,-0.6212494303424789,-0.42372931656093893,-0.4493585171364586,-0.41047789699637605,-0.3906726924487462,-0.3906726924487462,-0.6227523687795276,-0.6455070762039603,0.28935968650361893,0.1628880543636413,-0.2530686752854388,0.06025765013851079,0.2095333123838513,0.35369957765372506,0.5295135648730969,0.6805446536716204,0.20683219866490424,0.196834323754527,0.3782051282051282,0.3994297930101854,0.36043114358835227,-0.2090209601328732,-0.13781637176578718,0.37640370458140543,-0.18257418583505539,-0.24060886975572657,-0.25,-0.16343011261515336,-0.4262989200441038,-0.08498365855987974
LSr.m.v,0.3906726924487462,-0.3906726924487462,1.0,-0.0890870806374748,0.6103891839705953,0.563436169819011,0.7544674054654764,0.8625819491779428,0.780763315142435,-0.5162145405816418,0.08132500607904443,0.12598815766974242,-0.4206342337287049,-0.4225771273642583,-0.17251638983558856,-0.521640530957301,-0.32643545542741914,-0.4206342337287049,-0.42857142857142855,-0.4225771273642583,-0.15936381457791915,-0.1934847750885717,-0.4225771273642583,-0.42857142857142855,0.659828879073858,0.3984095364447979,0.6641435771628685,0.8100925873009825,0.8987170342729172,0.5141085078906393,0.629940788348712,-0.4225771273642583,0.8017837257372731,0.8017837257372731,0.8017837257372731,-0.04695301415158425,1.0,0.8017837257372731,0.6103891839705953,0.2608202654786505,0.23825286488383468,1.0,1.0,0.8625819491779428,0.8259308406823933,0.1533479020760787,0.19854405406986222,0.6075827820525738,0.44884875121270135,-0.1934847750885717,-0.4311239909182913,-0.4382504900892777,-0.4879500364742666,-0.3253000243161777,0.23218173010628604,-0.3906726924487462,-0.043470044246441755,-0.4206342337287049,0.6163920909019224,0.5459486832355505,-0.20122720350678966,-0.29957234475763905,0.8625819491779428,0.6250763079179938,0.6772962119561564,0.6185895741317419,-0.19920476822239894
LSr.m.d,-0.03654408413779288,-0.07308816827558576,-0.0890870806374748,1.0,-0.5270462766947299,-0.5270462766947299,-0.03714419132552724,0.0,0.0,0.11143257397658171,0.5325080420189116,-0.7856742013183861,-0.5246230625870018,-0.5270462766947299,-0.6454972243679028,-0.6506000486323554,-0.763381020690574,-0.5246230625870018,-0.5345224838248488,-0.5270462766947299,-0.37267799624996495,-0.8325467986292163,-0.5270462766947299,-0.5345224838248488,-0.23145502494313788,-0.2608745973749755,-0.14617633655117152,-0.10825317547305482,0.0,-0.5246230625870018,-0.23570226039551584,-0.5270462766947299,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.7905694150420948,-0.0890870806374748,0.16666666666666666,-0.17568209223157663,0.6912625516718777,0.7428838265105447,-0.0890870806374748,-0.0890870806374748,0.0,0.08132500607904443,-0.6454972243679029,-0.5571628698829085,-0.17487435419566724,-0.381690510345287,-0.7601514248353713,-0.6599120175960898,-0.447213595499958,-0.45643546458763845,-0.494471753303275,-0.6153606772476816,-0.7674257668936505,-0.20331251519761107,-0.5246230625870018,0.46126560401444255,0.5106882308569509,0.5646924393157821,0.6405126152203485,0.1613743060919757,0.47507309379130747,0.037267799624996496,-0.23145502494313788,0.894427190999916
MEAad,0.5354397727451864,-0.14637921844832436,0.6103891839705953,-0.5270462766947299,1.0,0.9861111111111112,0.7830683095582326,0.6123724356957945,0.46190580640999945,-0.015661366191164653,-0.18443133599113046,0.49690399499995325,-0.11981694044868839,-0.12037037037037036,0.13608276348795434,-0.13715853329963726,0.028163598725807277,0.02765006318046655,-0.04695301415158425,-0.12037037037037036,0.11785113019775792,0.29761455522215957,-0.08333333333333333,-0.04695301415158425,0.8539125638299665,0.7149635231997313,0.6394460595374168,0.7607257743127307,0.6076436202502,0.9677522113163293,0.6459751934999393,-0.009259259259259259,0.43920523057894156,0.43920523057894156,0.43920523057894156,-0.4166666666666667,0.6103891839705953,0.43920523057894156,0.7037037037037037,-0.18430677912138757,-0.08222217250361442,0.6103891839705953,0.6103891839705953,0.6123724356957945,0.522916908204867,0.7711356597650746,0.5481478166907628,0.7004682672384859,0.7724872793364281,0.1755162761566582,-0.07728981596002805,-0.04714045207910317,-0.07216878364870322,0.028065638085606807,0.5761512543403345,-0.03466876226407682,0.004286204165613664,-0.046083438634110914,0.1944866553305261,0.15321206512498559,-0.49206349206349204,-0.324920546939343,0.4252586358998573,0.16563964192836703,0.5028314888437672,0.349697526139891,-0.49497474683058323
MEApv,0.5778127044012803,-0.06933752452815364,0.563436169819011,-0.5270462766947299,0.9861111111111112,1.0,0.7517455771759033,0.5613413993878116,0.3889733106610522,0.011746024643373489,-0.28867513459481287,0.49690399499995325,-0.08295018954139965,-0.08333333333333333,0.2041241452319315,-0.09001028747788695,0.09656090991705352,0.08295018954139965,0.0,-0.08333333333333333,0.11785113019775792,0.3548481235341133,-0.041666666666666664,0.0,0.8539125638299665,0.7306770072260991,0.6240377207533827,0.7302967433402215,0.5696658939845625,0.9954022744967957,0.6708203932499369,0.041666666666666664,0.3952847075210474,0.3952847075210474,0.3952847075210474,-0.4166666666666667,0.563436169819011,0.3952847075210474,0.6527777777777778,-0.24431363743997886,-0.15269832036385536,0.563436169819011,0.563436169819011,0.5613413993878116,0.45005143738943476,0.7824758900557375,0.528571108951807,0.6636015163311972,0.7483470518571648,0.22893427324781504,-0.05796736197002104,-0.023570226039551584,-0.07216878364870322,0.012028130608117204,0.5837823967819283,0.0,0.051434449987363975,0.0,0.1215541595815788,0.08695819912499182,-0.4642857142857143,-0.3544587784792833,0.3572172541558801,0.09245003270420485,0.44783429475148007,0.3171675237082733,-0.5185449728701348
COApm,0.33554939198910105,-0.17266133762545977,0.7544674054654764,-0.03714419132552724,0.7830683095582326,0.7517455771759033,1.0,0.7480659389429668,0.7538668652854829,-0.18874172185430463,0.061034134407836955,0.11556560209907174,-0.4209127072671379,-0.4228568871614456,-0.2301741350593744,-0.511111168241168,-0.4049118374076033,-0.28060847151142526,-0.357379297325752,-0.4228568871614456,0.08305693677313693,-0.10003331528847685,-0.38761881323132513,-0.357379297325752,0.8322099018390829,0.6378772744176916,0.7883781831200238,0.9553840547408042,0.7494266784739907,0.724905218071182,0.46226240839628696,-0.3171426653710842,0.48287448723185405,0.48287448723185405,0.48287448723185405,-0.20751310203293163,0.7544674054654764,0.6685954438594902,0.5011637181172689,0.06887313614597299,0.2185430463576159,0.7544674054654764,0.7544674054654764,0.7480659389429668,0.7177305766790869,0.5722384746615002,0.44039735099337746,0.7716732966564195,0.738368644684453,-0.1645709380552361,-0.3268253098613848,-0.12292426642424266,-0.18310240322351087,-0.1424129802849529,0.4001332611539074,-0.3779002861236478,0.007249803804839262,-0.3507605893892816,0.47288012458816653,0.49378029987785194,-0.2114284435807228,0.060667873971704006,0.8056094727078105,0.43653998569455865,0.6445218293595426,0.1581886590272637,-0.12292426642424266
COApl,0.2689157956093415,-0.6227523687795276,0.8625819491779428,0.0,0.6123724356957945,0.5613413993878116,0.7480659389429668,1.0,0.6252659008841843,-0.4891200370011706,-0.05892556509887897,0.06085806194501846,-0.5079640961089473,-0.5103103630798288,-0.25,-0.629940788348712,-0.4287014870920849,-0.5079640961089473,-0.5175491695067657,-0.5103103630798288,-0.25980762113533157,-0.3084246847506244,-0.5103103630798288,-0.5175491695067657,0.747017880833996,0.5773502691896257,0.5661385170722978,0.754672942406179,0.9922778767136677,0.5079640961089473,0.45643546458763845,-0.5103103630798288,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.13608276348795434,0.8625819491779428,0.9682458365518541,0.6123724356957945,0.393712992717945,0.33087531914785073,0.8625819491779428,0.8625819491779428,1.0,0.9764082219405036,0.1388888888888889,0.1150870675296872,0.6095569153307367,0.4139186771923578,-0.3084246847506244,-0.5679618342470648,-0.5773502691896257,-0.6187184335382291,-0.4272103469668725,0.1542123423753122,-0.5236781282918754,-0.11023963796102461,-0.5079640961089473,0.41684393392278957,0.34993385618385614,-0.49573006699183364,-0.04651302547095317,0.6875,0.4953712024382606,0.5484827557301444,0.35856858280031806,-0.14433756729740643
TR,0.20227834851568374,-0.16182267881254697,0.780763315142435,0.0,0.46190580640999945,0.3889733106610522,0.7538668652854829,0.6252659008841843,1.0,-0.19874671902980912,0.24562764364440137,0.07248089700593803,-0.6049764346102501,-0.607770797907894,-0.4466185006315603,-0.5926963631983525,-0.48592754249075903,-0.6049764346102501,-0.6163920909019224,-0.607770797907894,0.31630251551936334,-0.18032487743269374,-0.607770797907894,-0.6163920909019224,0.3843440707772677,0.2062842492517587,0.6203202687814301,0.8122510529692439,0.6425960033862034,0.3307204509202701,0.23918696011959548,-0.607770797907894,0.5381432046835163,0.5381432046835163,0.5381432046835163,-0.2836263723570172,0.780763315142435,0.5381432046835163,0.46190580640999945,0.03000994244042291,0.22616005958564486,0.780763315142435,0.780763315142435,0.6252659008841843,0.607701334418564,0.3109788078471605,0.5825334868115095,0.7663034838396502,0.7183276715080786,-0.20703967408938911,-0.23675144530554984,-0.01375228328345058,-0.0842151921066519,-0.2877352396977273,0.5276172339697336,-0.235991406601631,0.3226068812345463,-0.6049764346102501,0.6312056737588653,0.6668242524546298,-0.13891903952180434,-0.1994263458784769,0.9230115679718912,0.6810037733361353,0.8870222717825624,0.25622938051817845,-0.1925319659683081
ENTm,0.3681270028618293,0.5473038626618347,-0.5162145405816418,0.11143257397658171,-0.015661366191164653,0.011746024643373489,-0.18874172185430463,-0.4891200370011706,-0.19874671902980912,1.0,0.24413653763134782,-0.15408746946542898,-0.21045635363356896,-0.2310051513196786,-0.3021035522654289,-0.03262411712177668,-0.15652054219117437,-0.10133083693468135,-0.15883524325588977,-0.2310051513196786,0.4152846838656847,0.09680643415013888,-0.22317446822409628,-0.15883524325588977,-0.2235274529733074,-0.04983416206388216,-0.15963029327636846,-0.20265722373289788,-0.5103238810560984,0.03897339882103129,-0.23113120419814348,-0.1487829788160642,-0.14857676530210895,-0.14857676530210895,-0.14857676530210895,0.019576707738955815,-0.5162145405816418,-0.5571628698829085,0.10962956333815256,-0.13049646848710672,0.11589403973509933,-0.5162145405816418,-0.5162145405816418,-0.4891200370011706,-0.5183609720460072,0.21418982012469562,0.2251655629139073,-0.015589359528412516,0.2313781928043447,-0.15166341350188425,-0.01634126549306924,0.23588170043570889,0.3458600949777427,-0.13902219504007307,0.21297415513030554,0.02280432761090978,0.2682427407790527,-0.11692019646309387,0.01370667027791787,0.07354174679031837,0.1241722605156626,-0.04996177856493272,-0.3884188529126943,0.06841298283272934,0.11295743401146623,-0.3542050408653948,0.12956882136609363
ENTl,0.10008009612817946,-0.05671205447263503,0.08132500607904443,0.5325080420189116,-0.18443133599113046,-0.28867513459481287,0.061034134407836955,-0.05892556509887897,0.24562764364440137,0.24413653763134782,1.0,-0.40881490876633847,-0.3591848569579318,-0.3608439182435161,-0.6187184335382291,-0.445435403187374,-0.6689936080056726,-0.3591848569579318,-0.36596252735569995,-0.3608439182435161,-0.18371173070873834,-0.6311368869673564,-0.3608439182435161,-0.36596252735569995,-0.1866382312525474,-0.31979449419669265,0.010008009612817947,0.01976423537605237,-0.0913602103444822,-0.32725731411722675,-0.032274861218395144,-0.3608439182435161,0.4183991758720019,0.4183991758720019,0.4183991758720019,0.3929189331984953,0.08132500607904443,-0.03803628871563654,0.20046884346862004,0.5902019092232705,0.7595358948530821,0.08132500607904443,0.08132500607904443,-0.05892556509887897,0.07052727217133421,-0.35027974808778045,-0.22718261140694868,-0.023945657130528784,-0.09756156783416059,-0.6377456501816742,-0.4016096644512494,-0.26536138880151094,-0.125,-0.1076388888888889,-0.3932214112519131,-0.5437685222964418,-0.4046038245618647,-0.3591848569579318,0.7649546616354214,0.7530800950958867,0.5429841817378623,0.33255116565391524,0.33882199931855406,0.6838806568758931,0.2925779414991018,0.20776708762076032,0.7008262319629648
ILA,0.22395160411940418,-0.21361537623697013,0.12598815766974242,-0.7856742013183861,0.49690399499995325,0.49690399499995325,0.11556560209907174,0.06085806194501846,0.07248089700593803,-0.15408746946542898,-0.40881490876633847,1.0,0.25555333952857395,0.31470586349997043,0.42600643361512924,0.4447089160206283,0.5325946710746209,0.40393914957742333,0.3359684204526464,0.31470586349997043,0.05270462766947299,0.4470703350291534,0.40994579587496144,0.3359684204526464,0.26913539795772395,0.3056868404829433,0.2205061948252595,0.1871137997959372,0.06038810848771178,0.494619366829498,0.45555555555555555,0.4265092623749599,-0.07856742013183861,-0.07856742013183861,-0.07856742013183861,-0.6211299937499416,0.12598815766974242,-0.07856742013183861,0.1987615979999813,-0.5252165646105695,-0.41673656514513746,0.12598815766974242,0.12598815766974242,0.06085806194501846,-0.0076673951038039355,0.49700750588431736,0.5498121069561898,0.1978477467317992,0.39584739066356955,0.5358018519051685,0.44934573438318426,0.323255049706101,0.19364916731037085,0.25461279405622833,0.5494528545014785,0.5547108963572934,-0.0076673951038039355,0.21433505895944913,-0.31891594682612734,-0.3592592592592593,-0.4933546807499536,-0.543492976389406,-0.07607257743127308,-0.3066414271788765,0.05270462766947299,0.3855182727502532,-0.7308375036833588
ACAv,-0.4524561164194209,0.23773117981359404,-0.4206342337287049,-0.5246230625870018,-0.11981694044868839,-0.08295018954139965,-0.4209127072671379,-0.5079640961089473,-0.6049764346102501,-0.21045635363356896,-0.3591848569579318,0.25555333952857395,1.0,0.9954022744967957,0.8804710999221753,0.8959644488359912,0.8650525442302375,0.926605504587156,0.9814798787003114,0.9954022744967957,0.031282475480231005,0.6608569192733236,0.9677522113163293,0.9814798787003114,-0.21856795926627576,-0.2346185661017325,-0.37576863906019703,-0.4921983079124984,-0.5040415347337636,-0.045871559633027525,-0.0741929050244247,0.9401021481358627,-0.5246230625870018,-0.5246230625870018,-0.5246230625870018,-0.4147509477069983,-0.4206342337287049,-0.5246230625870018,-0.4147509477069983,-0.5119796850491378,-0.7015211787785632,-0.4206342337287049,-0.4206342337287049,-0.5079640961089473,-0.5119796850491378,0.15803327434500583,-0.1480989155199189,-0.41284403669724773,-0.3764580516557515,0.7596056543371534,0.7693445860205066,0.469237132203465,0.4789131426105757,0.8700255424092125,-0.13672901778068763,0.6825185484970926,-0.15359390551474136,0.981651376146789,-0.6049764346102501,-0.6182742085368724,0.11850027077342808,0.0,-0.5079640961089473,-0.8052185122718508,-0.7038556983051976,-0.04047554801227329,-0.2346185661017325
ACAd,-0.43913765534497307,0.19260423480042677,-0.4225771273642583,-0.5270462766947299,-0.12037037037037036,-0.08333333333333333,-0.4228568871614456,-0.5103103630798288,-0.607770797907894,-0.2310051513196786,-0.3608439182435161,0.31470586349997043,0.9954022744967957,1.0,0.8845379626717031,0.9001028747788695,0.8690481892534816,0.9401021481358627,0.9860132971832692,1.0,-0.011785113019775792,0.6333848226522883,0.9861111111111112,0.9860132971832692,-0.21957751641341997,-0.23570226039551584,-0.37750430020883646,-0.494471753303275,-0.5063696835418333,-0.046083438634110914,-0.037267799624996496,0.9583333333333334,-0.5270462766947299,-0.5270462766947299,-0.5270462766947299,-0.4166666666666667,-0.4225771273642583,-0.5270462766947299,-0.4166666666666667,-0.5143444998736397,-0.6851847708634535,-0.4225771273642583,-0.4225771273642583,-0.5103103630798288,-0.5143444998736397,0.1474229937786172,-0.14095229572048187,-0.4147509477069983,-0.3781968971751263,0.7631142441593834,0.7728981596002805,0.4714045207910317,0.45706896310845374,0.8660254037844386,-0.13736056394868904,0.6856710758895194,-0.18430677912138757,0.9677522113163293,-0.607770797907894,-0.6211299937499416,0.11904761904761904,0.0,-0.5103103630798288,-0.8089377861617925,-0.7071067811865475,-0.008132500607904443,-0.23570226039551584
RSPv.a,-0.22645540682891913,0.08492077756084468,-0.17251638983558856,-0.6454972243679028,0.13608276348795434,0.2041241452319315,-0.2301741350593744,-0.25,-0.4466185006315603,-0.3021035522654289,-0.6187184335382291,0.42600643361512924,0.8804710999221753,0.8845379626717031,1.0,0.7559289460184544,0.9165342137830781,0.8127425537743156,0.8625819491779428,0.8845379626717031,0.014433756729740642,0.7290038003196576,0.8675276172357089,0.8625819491779428,-0.02988071523335984,-0.11547005383792514,-0.3113761843897638,-0.30745934690622106,-0.21706078553111482,0.23704991151750873,0.22821773229381923,0.8335069263637203,-0.3227486121839514,-0.3227486121839514,-0.3227486121839514,-0.5103103630798288,-0.17251638983558856,-0.3227486121839514,-0.13608276348795434,-0.629940788348712,-0.7912235892665995,-0.17251638983558856,-0.17251638983558856,-0.25,-0.3464674335917916,0.2916666666666667,0.0287717668824218,-0.10159281922178945,-0.14782809899727065,0.8972354465472709,0.709952292808831,0.404145188432738,0.26516504294495535,0.7071067811865476,0.11215443081840887,0.6793662204867574,0.0472455591261534,0.8466068268482455,-0.565716767466643,-0.5781515884776753,-0.05832118435198043,-0.21706078553111482,-0.375,-0.7359800721939872,-0.46188021535170054,0.1494035761667992,-0.46188021535170054
RSPv.b/c,-0.32810304425836656,0.3994297930101854,-0.521640530957301,-0.6506000486323554,-0.13715853329963726,-0.09001028747788695,-0.511111168241168,-0.629940788348712,-0.5926963631983525,-0.03262411712177668,-0.445435403187374,0.4447089160206283,0.8959644488359912,0.9001028747788695,0.7559289460184544,1.0,0.9126049023798348,0.8959644488359912,0.9128709291752768,0.9001028747788695,0.20367003088692623,0.7594944935904078,0.9001028747788695,0.9128709291752768,-0.2559939058231545,-0.1200198396297958,-0.24964362063136586,-0.47539926828479057,-0.6250763079179938,-0.04266497375409482,-0.16101529717988264,0.9001028747788695,-0.6506000486323554,-0.6506000486323554,-0.6506000486323554,-0.5143444998736397,-0.521640530957301,-0.6506000486323554,-0.5143444998736397,-0.6349206349206349,-0.7793539090202206,-0.521640530957301,-0.521640530957301,-0.629940788348712,-0.6349206349206349,0.23097828906119441,0.03262411712177668,-0.5119796850491378,-0.2756439296983991,0.738299298420443,0.822899348920426,0.5819143739626463,0.6458813346216923,0.7275444918727109,0.05652052045323965,0.841655635271462,-0.023809523809523808,0.8959644488359912,-0.7502485610105728,-0.7667395103803936,-0.033065003563305405,-0.24612379624271008,-0.629940788348712,-0.8487883101466439,-0.694660283917909,-0.12046772038736683,-0.44370971014651783
